id, orderId, tokenId, type, endsAt, cancelled, category, highestBidder, highestBid,  claimed, totalBids, totalBidsVolume, platformFees, gbmFees, royaltyFees, sellerProceeds
5756,648,350,erc1155,1677378843,false,8,0x11442e1ec5715f5824b8bd4a6b95533f07f521c5,35.0,true,6,131.5,1.05,0.35,0.0,30.904500002 
5755,647,350,erc1155,1677380283,false,8,0x6994ba66fd6789044c4ad43786cc16840d099c8a,15.75,false,5,63.25,0.4725,0.1575,0.0,14.237757145 
6121,1013,350,erc1155,1677381464,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,10.0,true,2,12.0,0.3,0.1,0.0,9.5 
6180,1072,350,erc1155,1677381603,false,8,0x6994ba66fd6789044c4ad43786cc16840d099c8a,12.0,false,3,21.5,0.36,0.12,0.0,11.045 
5762,654,350,erc1155,1677381927,false,8,0x9decc84cc0b18e9c294aefd2e4c59e8978fd838c,20.0,true,4,35.0,0.6,0.2,0.0,18.6017333336 
5934,826,350,erc1155,1677382029,false,8,0x6994ba66fd6789044c4ad43786cc16840d099c8a,11.0,false,4,25.0,0.33,0.11,0.0,10.0117333336 
5898,790,350,erc1155,1677382242,false,8,0x494c1b2a2d0ff337315634dabeede6d751e68060,10.0,true,2,15.0,0.3,0.1,0.0,9.35 
5913,805,350,erc1155,1677382343,false,8,0xb53cf0a586973ab15c0a045990d06b4fa083dd5a,8.0,true,2,14.0,0.24,0.08,0.0,7.38 
6172,1064,350,erc1155,1677382461,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,7.0,true,2,8.0,0.21,0.07,0.0,6.67 
6228,1120,350,erc1155,1677382695,false,8,0x494c1b2a2d0ff337315634dabeede6d751e68060,10.0,true,1,10.0,0.3,0.1,0.0,9.6 
6008,900,350,erc1155,1677382823,false,8,0x7d9fb540504d8f277099472b89113485f712c546,10.0,true,2,15.0,0.3,0.1,0.0,9.35 
5949,841,350,erc1155,1677382966,false,8,0x494c1b2a2d0ff337315634dabeede6d751e68060,10.0,true,1,10.0,0.3,0.1,0.0,9.6 
6509,1401,350,erc1155,1677383045,false,8,0x5cc81f1afa43f8f3c65fc9ce96d5a0568f4e285f,5.25,true,2,10.25,0.1575,0.0525,0.0,4.79 
6296,1188,350,erc1155,1677383167,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,4.0,true,1,4.0,0.12,0.04,0.0,3.84 
